Organização;Nome;Descrição;Tags;Quantidade Recursos;Quantidade Reusos;Quantidade Downloads;Quantidade Seguidores;Status;Data Criacao
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;SGI;Base de dados que compreende as informações dos projetos de planejamento e de acompanhamento de rotina do Instituto Federal de Brasília - IFB, cadastrados no Sistema de Gestão Integrado (SGI).;IFB,PDI,Planejamento estratégico,Plano de Desenvolvimento Institucional;2;0;0;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;SISTEC IFB;Banco de dados que compreende as informações cadastrais dos alunos do IFB desde o ano de 2009. ;IFB,Relaçao de alunos;2;0;30;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;PORTFÓLIO DA PESQUISA E INOVAÇÃO;Base de dados que compreende as informações relacionadas aos projetos de pesquisa e inovação do Instituto Federal de Brasília - IFB.;IFB,Pesquisa,inovação;2;0;10;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;PUBLICAÇÕES DA EDITORA IFB;Banco de dados que compreende informações relacionadas às publicações realizadas pela Editora IFB.;IFB,editora IFB,publicações;2;0;6;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;PROGRAMAS DE INTERCÂMBIO INSTITUCIONAL;Banco de dados que compreende os Programas de Intercâmbio Institucional vigentes. ;IFB,Programas de Intercâmbio;2;0;4;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;ACORDOS INTERNACIONAIS;Base de dados que compreende os acordos internacionais firmados pelo Instituto Federal de Brasília - IFB.;IFB,acordos internacionais;2;0;1;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;EMENDAS PARLAMENTARES RECEBIDAS;Base de dados que registra todos os recursos recebidos pelo IFB, advindos de emendas parlamentares.;Emendas Parlamentares,IFB;2;0;4;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;GRUPOS DE PESQUISA;Banco de dados que compreende as informações sobre os grupos de pesquisa do Instituto Federal de Brasília - IFB, cadastrados no Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPQ).;IFB,cnpq,grupos de pesquisa;2;0;155;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;EXTRAI LATTES;"Banco de dados que compreende as informações dos currículos lattes dos
servidores do IFB.";IFB,Pesquisa,Plataforma Lattes,publicações;8;0;20;0;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;MUNDO DO TRABALHO;"Banco de dados que compreende informações relacionadas à relação dos
egressos do IFB com o mundo do trabalho. Relaciona as informações educacionais dos egressos do IFB com a Relação Anual de Informações Sociais (RAIS).";Egressos,IFB,RAIS,mercado de trabalho;2;0;139;1;Baixa;2023-01-01
Instituto Federal de Educação, Ciência e Tecnologia de Brasília - IFB;DICIONÁRIO DE DADOS ABERTOS IFB;"Documentação de quais são e o que significam cada coluna e seus tipos de dados de acordo com o conjunto de dados selecionados para abertura na ficha dos Gestores publicadas no PDA 2018-2019 do IFB.

Observação: Com a publicação do [Plano de Dados Abertos 2020-2022](https://diretorios.ifb.edu.br/diretorios/916/arquivos/download/PDA_2020-2022.pdf) os conjuntos de dados especificados por este dicionário foram descontinuados. Os novos dicionários constam dentro de cada um dos conjuntos de dados publicados pelo PDA 2020-2022.";Dicionário,IFB,dados abertos;1;0;6;0;Baixa;2023-01-01
